,creation_year,century,c
0,-50.0,1,17.0
1,-40.0,1,1.0
2,-10.0,1,6.0
3,-9.0,1,1.0
4,0.0,1,4.0
5,1.0,1,2.0
6,14.0,1,2.0
7,100.0,2,2.0
8,250.0,3,2.0
9,300.0,4,1.0
10,325.0,4,2.0
11,400.0,5,1.0
12,450.0,5,1.0
13,590.0,6,11.0
14,618.0,7,1.0
15,650.0,7,1.0
16,670.0,7,1.0
17,680.0,7,1.0
18,700.0,8,1.0
19,734.0,8,1.0
20,750.0,8,8.0
21,775.0,8,4.0
22,790.0,8,1.0
23,797.0,8,1.0
24,825.0,9,4.0
25,875.0,9,3.0
26,891.0,9,13.0
27,900.0,10,1.0
28,906.0,10,1.0
29,907.0,10,1.0
30,960.0,10,13.0
31,967.0,10,1.0
32,975.0,10,3.0
33,1000.0,11,3.0
34,1007.0,11,1.0
35,1037.0,11,1.0
36,1050.0,11,1.0
37,1070.0,11,1.0
38,1071.0,11,1.0
39,1080.0,11,7.0
40,1082.0,11,1.0
41,1085.0,11,1.0
42,1090.0,11,18.0
43,1100.0,12,45.0
44,1107.0,12,1.0
45,1120.0,12,1.0
46,1123.0,12,3.0
47,1125.0,12,5.0
48,1127.0,12,1.0
49,1130.0,12,1.0
50,1134.0,12,1.0
51,1138.0,12,1.0
52,1140.0,12,1.0
53,1150.0,12,14.0
54,1164.0,12,2.0
55,1170.0,12,2.0
56,1175.0,12,4.0
57,1180.0,12,6.0
58,1181.0,12,24.0
59,1190.0,12,7.0
60,1191.0,12,1.0
61,1195.0,12,4.0
62,1200.0,13,21.0
63,1205.0,13,1.0
64,1220.0,13,1.0
65,1224.0,13,1.0
66,1225.0,13,7.0
67,1226.0,13,2.0
68,1230.0,13,1.0
69,1234.0,13,2.0
70,1235.0,13,1.0
71,1240.0,13,1.0
72,1249.0,13,1.0
73,1250.0,13,21.0
74,1255.0,13,4.0
75,1256.0,13,1.0
76,1260.0,13,12.0
77,1261.0,13,3.0
78,1263.0,13,5.0
79,1265.0,13,10.0
80,1266.0,13,1.0
81,1267.0,13,4.0
82,1268.0,13,2.0
83,1270.0,13,18.0
84,1271.0,13,3.0
85,1272.0,13,1.0
86,1275.0,13,7.0
87,1277.0,13,12.0
88,1278.0,13,10.0
89,1279.0,13,1.0
90,1280.0,13,18.0
91,1281.0,13,1.0
92,1282.0,13,1.0
93,1283.0,13,1.0
94,1285.0,13,6.0
95,1287.0,13,1.0
96,1288.0,13,1.0
97,1290.0,13,45.0
98,1295.0,13,8.0
99,1296.0,13,1.0
100,1297.0,13,30.0
101,1298.0,13,2.0
102,1300.0,14,71.0
103,1301.0,14,1.0
104,1303.0,14,14.0
105,1304.0,14,158.0
106,1305.0,14,12.0
107,1306.0,14,42.0
108,1308.0,14,144.0
109,1309.0,14,2.0
110,1310.0,14,13.0
111,1311.0,14,8.0
112,1312.0,14,3.0
113,1315.0,14,48.0
114,1317.0,14,9.0
115,1318.0,14,1.0
116,1319.0,14,3.0
117,1320.0,14,110.0
118,1321.0,14,4.0
119,1323.0,14,2.0
120,1324.0,14,6.0
121,1325.0,14,62.0
122,1326.0,14,3.0
123,1327.0,14,5.0
124,1328.0,14,6.0
125,1329.0,14,6.0
126,1330.0,14,47.0
127,1332.0,14,9.0
128,1333.0,14,11.0
129,1334.0,14,5.0
130,1335.0,14,29.0
131,1336.0,14,5.0
132,1337.0,14,2.0
133,1338.0,14,23.0
134,1339.0,14,3.0
135,1340.0,14,34.0
136,1341.0,14,4.0
137,1342.0,14,4.0
138,1343.0,14,9.0
139,1344.0,14,5.0
140,1345.0,14,14.0
141,1346.0,14,2.0
142,1347.0,14,1.0
143,1348.0,14,2.0
144,1349.0,14,1.0
145,1350.0,14,73.0
146,1351.0,14,1.0
147,1352.0,14,1.0
148,1353.0,14,1.0
149,1354.0,14,14.0
150,1355.0,14,5.0
151,1357.0,14,3.0
152,1360.0,14,27.0
153,1362.0,14,3.0
154,1363.0,14,3.0
155,1364.0,14,2.0
156,1365.0,14,29.0
157,1366.0,14,22.0
158,1367.0,14,20.0
159,1368.0,14,99.0
160,1369.0,14,3.0
161,1370.0,14,35.0
162,1371.0,14,5.0
163,1372.0,14,3.0
164,1373.0,14,1.0
165,1374.0,14,3.0
166,1375.0,14,23.0
167,1376.0,14,6.0
168,1377.0,14,1.0
169,1378.0,14,15.0
170,1379.0,14,4.0
171,1380.0,14,23.0
172,1381.0,14,1.0
173,1383.0,14,4.0
174,1384.0,14,1.0
175,1385.0,14,16.0
176,1386.0,14,7.0
177,1387.0,14,13.0
178,1388.0,14,11.0
179,1389.0,14,2.0
180,1390.0,14,22.0
181,1391.0,14,10.0
182,1392.0,14,5.0
183,1393.0,14,12.0
184,1394.0,14,3.0
185,1395.0,14,9.0
186,1397.0,14,4.0
187,1398.0,14,1.0
188,1399.0,14,9.0
189,1400.0,15,80.0
190,1402.0,15,1.0
191,1403.0,15,1.0
192,1404.0,15,1.0
193,1405.0,15,10.0
194,1406.0,15,1.0
195,1407.0,15,3.0
196,1408.0,15,30.0
197,1409.0,15,1.0
198,1410.0,15,42.0
199,1411.0,15,12.0
200,1412.0,15,1.0
201,1413.0,15,1.0
202,1414.0,15,4.0
203,1415.0,15,6.0
204,1416.0,15,15.0
205,1417.0,15,2.0
206,1418.0,15,4.0
207,1419.0,15,2.0
208,1420.0,15,45.0
209,1421.0,15,3.0
210,1422.0,15,7.0
211,1423.0,15,26.0
212,1424.0,15,13.0
213,1425.0,15,98.0
214,1426.0,15,43.0
215,1427.0,15,27.0
216,1428.0,15,4.0
217,1429.0,15,8.0
218,1430.0,15,64.0
219,1431.0,15,13.0
220,1432.0,15,43.0
221,1433.0,15,33.0
222,1434.0,15,24.0
223,1435.0,15,93.0
224,1436.0,15,23.0
225,1437.0,15,42.0
226,1438.0,15,30.0
227,1439.0,15,5.0
228,1440.0,15,85.0
229,1441.0,15,27.0
230,1442.0,15,22.0
231,1443.0,15,23.0
232,1444.0,15,12.0
233,1445.0,15,100.0
234,1446.0,15,20.0
235,1447.0,15,84.0
236,1448.0,15,39.0
237,1449.0,15,10.0
238,1450.0,15,374.0
239,1451.0,15,26.0
240,1452.0,15,150.0
241,1453.0,15,13.0
242,1454.0,15,17.0
243,1455.0,15,64.0
244,1456.0,15,19.0
245,1457.0,15,13.0
246,1458.0,15,12.0
247,1459.0,15,57.0
248,1460.0,15,169.0
249,1461.0,15,22.0
250,1462.0,15,8.0
251,1463.0,15,7.0
252,1464.0,15,74.0
253,1465.0,15,119.0
254,1466.0,15,12.0
255,1467.0,15,56.0
256,1468.0,15,14.0
257,1469.0,15,17.0
258,1470.0,15,165.0
259,1471.0,15,21.0
260,1472.0,15,35.0
261,1473.0,15,53.0
262,1474.0,15,36.0
263,1475.0,15,252.0
264,1476.0,15,76.0
265,1477.0,15,30.0
266,1478.0,15,30.0
267,1479.0,15,27.0
268,1480.0,15,181.0
269,1481.0,15,66.0
270,1482.0,15,48.0
271,1483.0,15,53.0
272,1484.0,15,22.0
273,1485.0,15,97.0
274,1486.0,15,51.0
275,1487.0,15,46.0
276,1488.0,15,38.0
277,1489.0,15,53.0
278,1490.0,15,358.0
279,1491.0,15,38.0
280,1492.0,15,23.0
281,1493.0,15,40.0
282,1494.0,15,37.0
283,1495.0,15,103.0
284,1496.0,15,53.0
285,1497.0,15,60.0
286,1498.0,15,51.0
287,1499.0,15,60.0
288,1500.0,16,244.0
289,1501.0,16,33.0
290,1502.0,16,61.0
291,1503.0,16,52.0
292,1504.0,16,87.0
293,1505.0,16,150.0
294,1506.0,16,77.0
295,1507.0,16,72.0
296,1508.0,16,81.0
297,1509.0,16,132.0
298,1510.0,16,211.0
299,1511.0,16,152.0
300,1512.0,16,93.0
301,1513.0,16,43.0
302,1514.0,16,75.0
303,1515.0,16,190.0
304,1516.0,16,87.0
305,1517.0,16,68.0
306,1518.0,16,84.0
307,1519.0,16,55.0
308,1520.0,16,232.0
309,1521.0,16,54.0
310,1522.0,16,42.0
311,1523.0,16,72.0
312,1524.0,16,54.0
313,1525.0,16,304.0
314,1526.0,16,100.0
315,1527.0,16,66.0
316,1528.0,16,55.0
317,1529.0,16,38.0
318,1530.0,16,123.0
319,1531.0,16,34.0
320,1532.0,16,61.0
321,1533.0,16,43.0
322,1534.0,16,42.0
323,1535.0,16,45.0
324,1536.0,16,23.0
325,1537.0,16,51.0
326,1538.0,16,28.0
327,1539.0,16,19.0
328,1540.0,16,82.0
329,1541.0,16,18.0
