,century,period,group,count
0,12,'0-'5,,
1,12,'5-'10,,
2,12,'10-'15,,
3,12,'15-'20,,
4,12,'20-'25,,
5,12,'25-'30,,
6,12,'30-'35,,
7,12,'35-'40,,
8,12,'40-'45,,
9,12,'45-'50,,
10,12,'50-'55,,
11,12,'55-'60,,
12,12,'60-'65,,
13,12,'65-'70,,
14,12,'70-'75,,
15,12,'75-'80,,
16,12,'80-'85,,
17,12,'85-'90,82.0,0.0
18,12,'90-'95,,
19,12,'95-'99,,
20,14,'0-'5,,
21,14,'5-'10,,
22,14,'10-'15,,
23,14,'15-'20,,
24,14,'20-'25,,
25,14,'25-'30,,
26,14,'30-'35,,
27,14,'35-'40,,
28,14,'40-'45,,
29,14,'45-'50,,
30,14,'50-'55,,
31,14,'55-'60,,
32,14,'60-'65,,
33,14,'65-'70,,
34,14,'70-'75,,
35,14,'75-'80,,
36,14,'80-'85,,
37,14,'85-'90,162.0,0.0
38,14,'90-'95,,
39,14,'95-'99,,
40,15,'0-'5,,
41,15,'5-'10,,
42,15,'10-'15,,
43,15,'15-'20,,
44,15,'20-'25,,
45,15,'25-'30,144.0,0.0
46,15,'30-'35,189.0,0.0
47,15,'35-'40,186.0,0.0
48,15,'40-'45,166.0,0.0
49,15,'45-'50,198.0,0.0
50,15,'50-'55,148.0,0.0
51,15,'55-'60,157.0,0.0
52,15,'60-'65,171.0,0.0
53,15,'65-'70,182.0,0.0
54,15,'70-'75,195.0,0.0
55,15,'75-'80,159.0,0.0
56,15,'80-'85,191.0,0.0
57,15,'85-'90,198.0,0.0
58,15,'90-'95,184.0,0.0
59,15,'95-'99,193.0,0.0
60,16,'0-'5,190.0,0.0
61,16,'5-'10,198.0,0.0
62,16,'10-'15,194.0,0.0
63,16,'15-'20,198.0,0.0
64,16,'20-'25,198.0,0.0
65,16,'25-'30,198.0,0.0
66,16,'30-'35,193.0,0.0
67,16,'35-'40,187.0,0.0
68,16,'40-'45,199.0,0.0
69,16,'45-'50,197.0,0.0
70,16,'50-'55,189.0,0.0
71,16,'55-'60,194.0,0.0
72,16,'60-'65,193.0,0.0
73,16,'65-'70,190.0,0.0
74,16,'70-'75,164.0,0.0
75,16,'75-'80,163.0,0.0
76,16,'80-'85,194.0,0.0
77,16,'85-'90,191.0,0.0
78,16,'90-'95,195.0,0.0
79,16,'95-'99,179.0,0.0
80,17,'0-'5,176.0,0.0
81,17,'5-'10,194.0,0.0
82,17,'10-'15,187.0,0.0
83,17,'15-'20,197.0,0.0
84,17,'20-'25,196.0,0.0
85,17,'25-'30,194.0,0.0
86,17,'30-'35,197.0,0.0
87,17,'35-'40,195.0,0.0
88,17,'40-'45,196.0,0.0
89,17,'45-'50,197.0,0.0
90,17,'50-'55,194.0,0.0
91,17,'55-'60,188.0,0.0
92,17,'60-'65,190.0,0.0
93,17,'65-'70,177.0,0.0
94,17,'70-'75,194.0,0.0
95,17,'75-'80,177.0,0.0
96,17,'80-'85,189.0,0.0
97,17,'85-'90,185.0,0.0
98,17,'90-'95,188.0,0.0
99,17,'95-'99,173.0,0.0
100,18,'0-'5,74.0,0.0
101,18,'5-'10,90.0,0.0
102,18,'10-'15,133.0,0.0
103,18,'15-'20,176.0,0.0
104,18,'20-'25,193.0,0.0
105,18,'25-'30,199.0,0.0
106,18,'30-'35,171.0,0.0
107,18,'35-'40,194.0,0.0
108,18,'40-'45,177.0,0.0
109,18,'45-'50,199.0,0.0
110,18,'50-'55,199.0,0.0
111,18,'55-'60,197.0,0.0
112,18,'60-'65,197.0,0.0
113,18,'65-'70,199.0,0.0
114,18,'70-'75,199.0,0.0
115,18,'75-'80,199.0,0.0
116,18,'80-'85,199.0,0.0
117,18,'85-'90,199.0,0.0
118,18,'90-'95,197.0,0.0
119,18,'95-'99,193.0,0.0
120,19,'0-'5,198.0,0.0
121,19,'5-'10,195.0,0.0
122,19,'10-'15,198.0,0.0
123,19,'15-'20,198.0,0.0
124,19,'20-'25,197.0,1.0
125,19,'25-'30,198.0,0.0
126,19,'30-'35,194.0,0.0
127,19,'35-'40,194.0,0.0
128,19,'40-'45,194.0,0.0
129,19,'45-'50,198.0,0.0
130,19,'50-'55,198.0,0.0
131,19,'55-'60,193.0,0.0
132,19,'60-'65,198.0,0.0
133,19,'65-'70,199.0,0.0
134,19,'70-'75,198.0,0.0
135,19,'75-'80,197.0,0.0
136,19,'80-'85,197.0,0.0
137,19,'85-'90,198.0,0.0
138,19,'90-'95,199.0,0.0
139,19,'95-'99,198.0,0.0
140,20,'0-'5,197.0,0.0
141,20,'5-'10,198.0,0.0
142,20,'10-'15,198.0,0.0
143,20,'15-'20,198.0,0.0
144,20,'20-'25,,
145,20,'25-'30,,
146,20,'30-'35,,
147,20,'35-'40,,
148,20,'40-'45,,
149,20,'45-'50,152.0,0.0
150,20,'50-'55,,
151,20,'55-'60,,
152,20,'60-'65,,
153,20,'65-'70,,
154,20,'70-'75,,
155,20,'75-'80,,
156,20,'80-'85,,
157,20,'85-'90,,
158,20,'90-'95,,
159,20,'95-'99,,
